Name	R	alpha	beta	gate	x0	y0	x1	y1	x2	y2	x3	y3
img_0000	2	0	0.0	1	895.5027246506422	560.7521407969332	895.5027246506422	49.74669149564863	384.4972753493577	49.74669149564863	384.4972753493577	560.7521407969332
img_0001	2	0	1.5254237288135593	1	893.0544230839778	558.8989628602627	893.0544230839778	52.61069376141211	382.18571997396225	46.828818442326394	382.18571997396225	562.6401763020241
img_0002	2	0	3.0508474576271185	1	890.4748145045035	557.0809636696611	890.4748145045035	55.420328874160134	380.0164897215613	43.857667624604574	380.0164897215613	564.5626856546676
img_0003	2	0	4.576271186440678	1	887.769195058425	555.2984060627678	887.769195058425	58.17519063026805	377.9952990862913	40.833935434925706	377.9952990862913	566.5192182479892
img_0004	2	0	6.101694915254237	1	884.9427154166924	553.5514985937047	884.9427154166924	60.8749567188201	376.1279929431648	37.758428548111624	376.1279929431648	568.5092521159278
img_0005	2	0	7.627118644067796	1	882.000379095321	551.8403994375492	882.000379095321	63.5193826874239	374.4205402944791	34.632071018290105	374.4205402944791	570.5321893411065
img_0006	2	0	9.152542372881356	1	878.9470414698002	550.1652201391347	878.9470414698002	66.10829614860995	372.8790268606956	31.455911538149167	372.8790268606956	572.5873513576682
img_0007	2	0	10.677966101694915	1	875.7874094179219	548.5260292039873	875.7874094179219	68.64159123020141	371.50964643079175	28.231130834846	371.50964643079175	574.6739741656879
img_0008	2	0	12.203389830508474	1	872.5260415290232	546.9228555305008	872.5260415290232	71.11922327104429	370.318690886243	24.959049172392383	370.318690886243	576.7912034766873
img_0009	2	0	13.728813559322033	1	869.1673488213239	545.3556916835764	869.1673488213239	73.54120376174558	369.312538812764	21.641133925490067	369.312538812764	578.9380898129182
img_0010	2	0	15.254237288135592	1	865.7155959127286	543.8244970109389	865.7155959127286	75.90759552854894	368.49764261485024	18.279007184612567	368.49764261485024	581.1135835864271
img_0011	2	0	16.779661016949152	1	862.1749025941051	542.3292006041793	862.1749025941051	78.21850815717744	367.8805140501658	14.874453346645794	367.8805140501658	583.3165301874644
img_0012	2	0	18.305084745762713	1	858.5492457576241	540.8697041072928	858.5492457576241	80.47409365236575	367.4677081040553	11.429426639627707	367.4677081040553	585.545665115535
img_0013	2	0	19.83050847457627	1	854.8424616362179	539.445884376082	854.8424616362179	82.67454232787327	367.2658051290988	7.94605852411695	367.2658051290988	587.7996091902772
img_0014	2	0	21.35593220338983	1	851.0582483135822	538.0575959922925	851.0582483135822	84.8200789210025	367.2813911808013	4.426664907501561	367.2813911808013	590.0768638833813
img_0015	2	0	22.881355932203387	1	847.2001684673721	536.7046736367511	847.2001684673721	86.91095892502108	367.52103648841063	0.8737531012112072	367.52103648841063	592.3758068168634
img_0016	2	0	24.406779661016948	1	843.2716523113379	535.3869343260976	843.2716523113379	88.94746513239465	367.9912720096054	-2.709971555620939	367.9912720096054	594.6946874771664
img_0017	2	0	25.93220338983051	1	839.2760007050854	534.1041795179451	839.2760007050854	90.92990438135746	368.6985640295776	-6.321599488892787	368.6985640295776	597.0316231986953
img_0018	2	0	27.457627118644066	1	835.2163884029401	532.8561970894809	835.2163884029401	92.85860449807484	369.64928677894824	-9.958011187777913	369.64928677894824	599.3845954744445
img_0019	2	0	28.983050847457626	1	831.0958674160238	531.6427631946408	831.0958674160238	94.73391142646426	370.84969306115227	-13.615872103616084	370.84969306115227	601.751446655281
img_0020	2	0	30.508474576271183	1	826.9173704641321	530.4636440050574	826.9173704641321	96.55618653763861	372.3058828984818	-17.291628250230417	372.3058828984818	604.1298771030903
img_0021	2	0	32.03389830508475	1	822.6837144963246	529.3185973400067	822.6837144963246	98.32580411089879	374.02377022696885	-20.98150261156991	374.02377022696885	606.5174428663099
img_0022	2	0	33.559322033898304	1	818.3976042613109	528.2073741905613	818.3976042613109	100.04314897822343	376.0090476937277	-24.68149246700125	376.0090476937277	608.9115539492361
img_0023	2	0	35.08474576271186	1	814.061635910736	527.129720143112	814.061635910736	101.70861432428143	378.2671496362671	-28.387367748129577	378.2671496362671	611.3094732487898
img_0024	2	0	36.610169491525426	1	809.6783006203502	526.0853767073428	809.6783006203502	103.32259963410661	380.80321335153434	-32.09467054352433	380.80321335153434	613.7083162340451
img_0025	2	0	38.13559322033898	1	805.2499882157904	525.0740825536457	805.2499882157904	104.88550878072942	383.6220387929467	-35.79871586896411	383.6220387929467	616.1050514446239
img_0026	2	0	39.66101694915254	1	800.7789907913061	524.0955746648419	800.7789907913061	106.3977482452444	386.7280468661969	-39.49459382059109	386.7280468661969	618.4965018839118
img_0027	2	0	41.1864406779661	1	796.2675063112487	523.1495894069421	796.2675063112487	107.85972546199852	390.12523652891116	-43.177173226468256	390.12523652891116	620.8793473818324
img_0028	2	0	42.71186440677966	1	791.7176421855046	522.2358635235315	791.7176421855046	109.27184728181493	393.8171409349406	-46.84110690827072	393.8171409349406	623.2501279994692
img_0029	2	0	44.23728813559322	1	787.1314188113085	521.3541350582066	787.1314188113085	110.63451854640815	397.80678290072217	-50.48083865900816	397.80678290072217	625.6052485440641
img_0030	2	0	45.762711864406775	1	782.5107730750105	520.5041442093282	782.5107730750105	111.94814076740192	402.0966300082415	-54.09061203460891	402.0966300082415	627.9409842576881
img_0031	2	0	47.28813559322034	1	777.8575618084241	519.6856341211849	777.8575618084241	113.21311090362349	406.6885496960261	-57.66448104671997	406.6885496960261	630.2534877361129
img_0032	2	0	48.813559322033896	1	773.1735651953313	518.8983516154852	773.1735651953313	114.42982023061367	411.58376472559604	-61.19632283110377	411.58376472559604	632.5387971260084
img_0033	2	0	50.33898305084745	1	768.4604901245873	518.1420478669274	768.4604901245873	115.59865329656677	416.7828094451063	-64.67985235042448	416.7828094451063	634.79284563851
img_0034	2	0	51.86440677966102	1	763.7199734870543	517.4164790264134	763.7199734870543	116.71998695917924	422.2854873036698	-68.10863917200334	422.2854873036698	637.0114724054139
img_0035	2	0	53.389830508474574	1	758.9535854143062	516.7214067953064	758.9535854143062	117.79418949816286	428.0908300981217	-71.47612634030935	428.0908300981217	639.1904346907884
img_0036	2	0	54.91525423728813	1	754.1628324576853	516.0565989539512	754.1628324576853	118.8216197984392	434.19705945783005	-74.77565134060649	434.19705945783005	641.3254214556866
img_0037	2	0	56.440677966101696	1	749.349160706877	515.4218298475113	749.349160706877	119.80262659930068	440.601551091558	-78.00046912448914	440.601551091558	643.4120682570224
img_0038	2	0	57.96610169491525	1	744.5139588476833	514.8168808320082	744.5139588476833	120.73754780507824	447.3008023323975	-81.14377714021987	447.3008023323975	645.4459734436716
img_0039	2	0	59.49152542372881	1	739.6585611591481	514.241540683281	739.6585611591481	121.6267098531113	454.2904035214434	-84.19874228116913	454.2904035214434	647.4227155936976
img_0040	2	0	61.01694915254237	1	734.7842504506049	513.695605971431	734.7842504506049	122.47042713506121	461.5650137673009	-87.15852963464329	461.5650137673009	649.3378721165338
img_0041	2	0	62.54237288135593	1	729.8922609395884	513.178881403156	729.8922609395884	123.26900146784985	469.11834160593986	-90.01633288144649	469.11834160593986	651.1870389232889
img_0042	2	0	64.0677966101695	1	724.9837810718908	512.6911801342286	724.9837810718908	124.02272161073768	476.94313106317054	-92.76540616424205	476.94313106317054	652.9658510474508
img_0043	2	0	65.59322033898304	1	720.0599562853338	512.2323240542289	720.0599562853338	124.73186282528269	485.031153589672	-95.3990972107452	485.031153589672	654.6700040775411
img_0044	2	0	67.11864406779661	1	715.1218917190932	511.8021440454986	715.1218917190932	125.39668647513855	493.37320629577397	-97.91088146672325	493.37320629577397	656.2952762431739
img_0045	2	0	68.64406779661017	1	710.1706548706468	511.4004802181471	710.1706548706468	126.01743966286358	501.9591168600672	-100.29439696439277	501.9591168600672	657.8375509769601
img_0046	2	0	70.16949152542372	1	705.207278202618	511.0271821228081	705.207278202618	126.59435490111471	510.7777554226334	-102.54347962487492	510.7777554226334	659.2928397572721
img_0047	2	0	71.69491525423729	1	700.2327617019696	510.68210894271743	700.2327617019696	127.12764981580034	519.8170537007647	-104.65219866963594	519.8170537007647	660.6573050215292
img_0048	2	0	73.22033898305085	1	695.2480753941629	510.3651296665596	695.2480753941629	127.61752687895338	529.0640314833064	-106.61489179605854	529.0640314833064	661.9272829268614
img_0049	2	0	74.7457627118644	1	690.2541618150308	510.07612324341153	690.2541618150308	128.06417316927312	538.5048305703252	-108.42619975716099	538.5048305703252	663.0993057252217
img_0050	2	0	76.27118644067797	1	685.2519384432377	509.814978720996	685.2519384432377	128.46776015846066	548.1247561290587	-110.08109997563105	548.1247561290587	664.1701235136436
img_0051	2	0	77.79661016949152	1	680.2423000963024	509.5815953683476	680.2423000963024	128.82844352164454	557.9083253367342	-111.57493881831095	557.9083253367342	665.1367251177305
img_0052	2	0	79.32203389830508	1	675.2261212932517	509.37588278388296	675.2261212932517	129.14636297036267	567.8393230777201	-112.90346215949171	567.8393230777201	665.9963578679065
img_0053	2	0	80.84745762711864	1	670.2042585870457	509.19776098976683	670.2042585870457	129.42164210672402	577.9008643586986	-114.06284387010874	577.9008643586986	666.7465460335998
img_0054	2	0	82.3728813559322	1	665.1775528699892	509.04716051335953	665.1775528699892	129.65438829753526	588.0754630033273	-115.04971188532284	588.0754630033273	667.385107690503
img_0055	2	0	83.89830508474576	1	660.1468316553904	508.924022456435	660.1468316553904	129.8446925673277	598.3451060894834	-115.86117152496433	598.3451060894834	667.9101698102711
img_0056	2	0	85.42372881355932	1	655.1129113387844	508.828298552761	655.1129113387844	129.99262950936944	608.6913334999401	-116.49482576968956	608.6913334999401	668.3201813803873
img_0057	2	0	86.94915254237287	1	650.076599442069	508.7599512145382	650.076599442069	130.0982572138955	619.0953218734309	-116.94879223005319	619.0953218734309	668.6139243841521
img_0058	2	0	88.47457627118644	1	645.0386968439349	508.71895356810364	645.0386968439349	130.1616172129307	629.537972169583	-117.22171658546102	629.537972169583	668.7905224964748
img_0059	2	0	90.0	1	640.0	508.7052894792098	640.0	130.1827344412212	640.0	-117.31278231438677	640.0	668.8494473798974
